
,103
,102
 ,0
!,99
#,95
$,28
%,79
&,100
',59
(,31
),30
*,80
+,69
,,23
-,24
.,22
/,58
0,56
1,52
2,55
3,63
4,70
5,74
6,81
7,83
8,78
9,75
:,61
;,66
<,93
=,72
>,89
?,90
A,40
B,47
C,35
D,43
E,50
F,48
G,42
GO,110
H,51
I,36
J,88
K,65
L,46
M,33
N,45
O,39
P,38
Q,73
R,44
S,37
T,32
U,64
V,57
W,29
X,68
Y,82
Z,109
[,77
\,41
],76
^,60
_,62
`,67
a,3
b,18
c,10
d,12
e,1
f,16
g,17
h,11
i,4
j,49
k,26
l,9
m,13
n,6
o,5
p,14
q,34
r,7
s,8
t,2
u,15
v,21
w,20
x,25
y,19
z,27
{,53
|,71
},54
~,84
²,92
³,106
´,112
×,101
á,114
ö,105
ɛ,98
Ω,91
γ,111
δ,104
λ,97
–,94
—,96
‘,113
’,86
“,87
”,85
∞,108
≤,107
